filename,original_path,doc_kind,extraction_status,proposed_bucket,reason
COVID-19 update for investors  29 September 2020.pdf,3. Monitoring\1. Financials\COVID-19 update for investors  29 September 2020.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Investor Revenue Forecast 11 Feb 2021 Oxford Nanopore Confidential.pdf,3. Monitoring\1. Financials\Investor Revenue Forecast 11 Feb 2021 Oxford Nanopore Confidential.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Management Accounts Full Year 2020 (unaudited).pdf,3. Monitoring\1. Financials\Management Accounts Full Year 2020 (unaudited).pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore Q3 2020 accounts CONFIDENTIAL.pdf,3. Monitoring\1. Financials\Oxford Nanopore Q3 2020 accounts CONFIDENTIAL.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore investor presentation 16 September 2020.pdf,3. Monitoring\1. Financials\Oxford Nanopore investor presentation 16 September 2020.pdf,financial_statement,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
Oxford Nanopore investor report Q1 2018 PUBLIC INFO ONLY.pdf,3. Monitoring\1. Financials\Oxford Nanopore investor report Q1 2018 PUBLIC INFO ONLY.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore investor report Q1 2021 Contains information not in the public domain.pdf,3. Monitoring\1. Financials\Oxford Nanopore investor report Q1 2021 Contains information not in the public domain.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore investor report Q3 2020 PUBLIC INFO ONLY.pdf,3. Monitoring\1. Financials\Oxford Nanopore investor report Q3 2020 PUBLIC INFO ONLY.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 2014.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 2014.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 2015.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 2015.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 2016.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 2016.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 2017.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 2017.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 2018.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 2018.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
Oxford Nanopore published accounts 31 Dec 2020 - audited.pdf,3. Monitoring\1. Financials\Oxford Nanopore published accounts 31 Dec 2020 - audited.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210303 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210303 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210304 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210304 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210308 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210308 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210310 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210310 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210325 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210325 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210326 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210326 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210331 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210331 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210505 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210505 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210508 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210508 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210523 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210523 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210526 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210526 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210706 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210706 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210801 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210801 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210808 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210808 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210809 ONT Financials.xlsx,3. Monitoring\2. Analysis\20210809 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
20210810 Note on reveue.docx,3. Monitoring\2. Analysis\20210810 Note on reveue.docx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
20210810 ONT Note on reveue.docx,3. Monitoring\2. Analysis\20210810 ONT Note on reveue.docx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
20211002 ONT Financials.xlsx,3. Monitoring\2. Analysis\20211002 ONT Financials.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT_Share certificate 46.pdf,3. Monitoring\2. Analysis\20Jan2022 Update\ONT_Share certificate 46.pdf,unclassified_document,extracted_text,05_Capitalization_and_Securities,name:'share certificate'
Share Price.xlsx,3. Monitoring\2. Analysis\20Jan2022 Update\Share Price.xlsx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
_INTERNAL_ FW_ ONT shares and dematerialization _#159325_.msg,3. Monitoring\2. Analysis\20Jan2022 Update\_INTERNAL_ FW_ ONT shares and dematerialization _#159325_.msg,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
3.2_ONT Articles 10July2020.pdf,3. Monitoring\2. Analysis\22 Jan 2021 13 hours DUMP\3_General docs and background\3.2_ONT Articles 10July2020.pdf,constitutional_document,extracted_text,04_Legal_and_Closing,name:'articles'
4.1_November2020captable.pdf,3. Monitoring\2. Analysis\22 Jan 2021 13 hours DUMP\4_Cap table\4.1_November2020captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
ONT Pre-Emption Rights.pdf,3. Monitoring\2. Analysis\31 Mar 2021 Pre-emption rights\ONT Pre-Emption Rights.pdf,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
ONT Pre-Emption Rights.pptx,3. Monitoring\2. Analysis\31 Mar 2021 Pre-emption rights\ONT Pre-Emption Rights.pptx,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
Amendments to existing share plans.pdf,3. Monitoring\2. Analysis\31 Mar 2021 Pre-emption rights\Source email\Amendments to existing share plans.pdf,amendment,extracted_text,04_Legal_and_Closing,kind:amendment
ONT Share Option Scheme Rules 2018.pdf,3. Monitoring\2. Analysis\31 Mar 2021 Pre-emption rights\Source email\ONT Share Option Scheme Rules 2018.pdf,unclassified_document,extracted_text,10_Exit_and_Public_Markets,folder-hint:'pre-emption'
ONT Share Option Scheme Rules.pdf,3. Monitoring\2. Analysis\31 Mar 2021 Pre-emption rights\Source email\ONT Share Option Scheme Rules.pdf,unclassified_document,extracted_text,10_Exit_and_Public_Markets,folder-hint:'pre-emption'
May 2021 LAT shares and LTIP Analysis.pdf,3. Monitoring\2. Analysis\May 2021 LAT shares and LTIP Analysis.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
20210505 M&G makes £35m investment in Oxford Nanopore Technologies.pdf,3. Monitoring\2. Analysis\News\20210505 M&G makes £35m investment in Oxford Nanopore Technologies.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
ONT Valuation.pptx,3. Monitoring\2. Analysis\ONT Valuation.pptx,valuation_support,extracted_empty,08_Valuation,name:'valuation'
Notes v1.xlsx,3. Monitoring\2. Analysis\Others\Notes v1.xlsx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
Notes v2.xlsx,3. Monitoring\2. Analysis\Others\Notes v2.xlsx,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
ONT - IR Dec'20 v2.pdf,3. Monitoring\2. Analysis\Others\ONT - IR Dec'20 v2.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'ir'
ONT Articles 10July2020.pdf,3. Monitoring\2. Analysis\Others\ONT Articles 10July2020.pdf,constitutional_document,extracted_text,04_Legal_and_Closing,name:'articles'
Oxford Nanopore investor presentation 16 September 2020 Slide 21.pdf,3. Monitoring\2. Analysis\Others\Oxford Nanopore investor presentation 16 September 2020 Slide 21.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
ONT Financials v1 Divyesh.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v1 Divyesh.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v2.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v2.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v3.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v3.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v4.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v4.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v5.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v5.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v6.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v6.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT Financials v7.xlsx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT Financials v7.xlsx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT v1 Divyesh.pptx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT v1 Divyesh.pptx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT v2.pptx,3. Monitoring\2. Analysis\Others\Presentation and Financials\ONT v2.pptx,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT HY23 PRESENTATION.pdf,3. Monitoring\H1 2023\ONT HY23 PRESENTATION.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
Oxford-Nanopore-HY23-Results-Report-6-Sep-2023.pdf,3. Monitoring\H1 2023\Oxford-Nanopore-HY23-Results-Report-6-Sep-2023.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,folder-hint:'monitoring'
